Id,Label,timeset,Name_Chinese,Name_English,URL,indegree,number of investment events,outdegree,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
1394826,,,天创资本,,https://data.cyzone.cn/capital/1394826.html,5,34,4,9,5,0.391272,0.412949,444.973884
1395276,,,火山石资本,,https://data.cyzone.cn/capital/1395276.html,25,34,19,44,4,0.446037,0.48598,631.549539
1393846,,,弘晖资本,,https://data.cyzone.cn/capital/1393846.html,8,33,13,21,4,0.414252,0.444707,217.712287
1394842,,,安赐资产管理有限公司,,https://data.cyzone.cn/capital/1394842.html,6,33,5,11,4,0.364828,0.386894,106.961507
1398826,,,浙江金控资本,,https://data.cyzone.cn/capital/1398826.html,3,33,4,7,5,0.362826,0.380813,29.28065
3219104,,,中国华融,,https://data.cyzone.cn/capital/3219104.html,4,33,6,10,5,0.317337,0.335098,7.725485
1160572,,,乐视音乐,,https://data.cyzone.cn/capital/1160572.html,9,33,5,14,4,0.393894,0.420447,34.509838
1403383,,,中融鼎新,,https://data.cyzone.cn/capital/1403383.html,5,33,9,14,5,0.405675,0.431537,77.00501
1393433,,,龙翌资本,,https://data.cyzone.cn/capital/1393433.html,2,33,5,7,5,0.329185,0.34477,5.299361
1395974,,,清控科创控股,,https://data.cyzone.cn/capital/1395974.html,7,33,7,14,4,0.396552,0.423283,92.378305
1163093,,,长江证券,,https://data.cyzone.cn/capital/1163093.html,9,33,11,20,5,0.368384,0.396408,94.955079
3107535,,,中原证券,,https://data.cyzone.cn/capital/3107535.html,6,33,6,12,5,0.351029,0.372464,121.055883
1401872,,,招商启航资本,,https://data.cyzone.cn/capital/1401872.html,2,33,3,5,5,0.322168,0.3362,15.161466
1397145,,,磐石资本,,https://data.cyzone.cn/capital/1397145.html,6,33,8,14,4,0.396552,0.422968,101.03673
1185961,,,游族网络,,https://data.cyzone.cn/capital/1185961.html,4,33,3,7,5,0.351495,0.369219,16.65307
1398044,,,中汇金,,https://data.cyzone.cn/capital/1398044.html,5,33,10,15,4,0.373852,0.399181,288.665011
1136909,,,昆仑万维,,https://data.cyzone.cn/capital/1136909.html,9,33,9,18,4,0.415881,0.442817,66.45999
1404838,,,安徽省高新投,,https://data.cyzone.cn/capital/1404838.html,1,32,3,4,6,0.297525,0.309294,5.184306
1399942,,,朗科投资,,https://data.cyzone.cn/capital/1399942.html,6,32,7,13,4,0.36609,0.387996,73.001367
1394508,,,杭州好望角投资管理有限公司,,https://data.cyzone.cn/capital/1394508.html,4,32,2,6,5,0.332495,0.346282,13.988047
1408577,,,中海投资,,https://data.cyzone.cn/capital/1408577.html,6,32,5,11,4,0.362826,0.384688,134.567912
1395928,,,东方汇富,,https://data.cyzone.cn/capital/1395928.html,5,32,6,11,5,0.390694,0.415154,79.901387
